@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
11,'2026/01/20 13:48:55:962',1,0.632258,0.637619,0,0.593737,0.594211,-0.019193,0.566238,0.520057,-0.035712,0.572872,0.465087,-0.054148,0.605961,0.446173,-0.07106,0.611315,0.389335,-0.022423,0.598135,0.289833,-0.058171,0.581129,0.231194,-0.079107,0.571979,0.178649,-0.093797,0.657651,0.407312,-0.033603,0.64817,0.341502,-0.08081,0.615372,0.420542,-0.086871,0.609376,0.463827,-0.078678,0.693591,0.446849,-0.048913,0.663476,0.421602,-0.091324,0.625687,0.497068,-0.076015,0.625431,0.526761,-0.05429,0.71833,0.498889,-0.066741,0.678525,0.491844,-0.090176,0.644923,0.538158,-0.07713,0.645372,0.553444,-0.061356,1
12,'2026/01/20 13:48:56:007',1,0.630875,0.63503,0,0.592711,0.587889,-0.019914,0.565122,0.514991,-0.037724,0.573937,0.460532,-0.057618,0.60824,0.442444,-0.076152,0.612003,0.386363,-0.022608,0.597605,0.288006,-0.057958,0.580152,0.229217,-0.07797,0.571273,0.176941,-0.092129,0.658902,0.404121,-0.033771,0.646323,0.341101,-0.080611,0.613126,0.421707,-0.085213,0.608535,0.463949,-0.076197,0.69482,0.443446,-0.049323,0.66171,0.418795,-0.092356,0.624984,0.495423,-0.075983,0.62609,0.525424,-0.053592,0.719692,0.495592,-0.067491,0.676856,0.488949,-0.091413,0.644789,0.535468,-0.07808,0.646894,0.550442,-0.062235,1
13,'2026/01/20 13:48:56:039',1,0.630606,0.632019,0,0.591739,0.584193,-0.021429,0.564207,0.510447,-0.040243,0.572085,0.454662,-0.060962,0.607245,0.434523,-0.079967,0.612556,0.382561,-0.022304,0.59821,0.284956,-0.057868,0.580641,0.226868,-0.078068,0.572233,0.174722,-0.092429,0.659688,0.399746,-0.03315,0.646553,0.339919,-0.08132,0.614106,0.421953,-0.086606,0.609968,0.465896,-0.077666,0.695601,0.439056,-0.04857,0.661532,0.416922,-0.092189,0.624394,0.494914,-0.075253,0.624666,0.525601,-0.052313,0.71967,0.491906,-0.066886,0.675933,0.488356,-0.091357,0.644024,0.535952,-0.078028,0.646199,0.550928,-0.062007,1
14,'2026/01/20 13:48:56:070',1,0.626963,0.629633,0,0.589051,0.58132,-0.023254,0.561491,0.502848,-0.04117,0.570856,0.444736,-0.060569,0.60709,0.424349,-0.07803,0.610878,0.380714,-0.021187,0.596149,0.286072,-0.055917,0.578775,0.22939,-0.074798,0.57023,0.177379,-0.088386,0.657897,0.39735,-0.031124,0.642738,0.338561,-0.079827,0.609569,0.418929,-0.08499,0.605569,0.460473,-0.075635,0.693457,0.436183,-0.045993,0.657291,0.416874,-0.090856,0.621131,0.493856,-0.074772,0.622832,0.521364,-0.0521,0.717474,0.488379,-0.063965,0.671197,0.49074,-0.089535,0.640638,0.538408,-0.077668,0.644362,0.550712,-0.062714,1
15,'2026/01/20 13:48:56:117',1,0.627182,0.629732,0,0.587284,0.583031,-0.024826,0.55951,0.504239,-0.043728,0.567883,0.443449,-0.063868,0.60378,0.419637,-0.081833,0.610321,0.380398,-0.021983,0.594975,0.28492,-0.057587,0.577383,0.227415,-0.077012,0.56939,0.175007,-0.090681,0.657353,0.395974,-0.031286,0.641858,0.336415,-0.080706,0.606676,0.418623,-0.085807,0.602417,0.462929,-0.075861,0.692504,0.434775,-0.045722,0.6566,0.416145,-0.091081,0.617693,0.493633,-0.074484,0.618954,0.523259,-0.050987,0.715653,0.487762,-0.063419,0.67042,0.489976,-0.089401,0.637972,0.537937,-0.077188,0.640921,0.552438,-0.06152,1
16,'2026/01/20 13:48:56:163',1,0.626998,0.627513,0,0.586017,0.57946,-0.025926,0.559687,0.500452,-0.045214,0.572431,0.437672,-0.065308,0.608468,0.405321,-0.083224,0.609818,0.380199,-0.022896,0.594281,0.285565,-0.058881,0.576088,0.228652,-0.078473,0.567587,0.175372,-0.092306,0.658138,0.394106,-0.031522,0.640915,0.335391,-0.081766,0.607056,0.417232,-0.08729,0.602766,0.462643,-0.077802,0.693342,0.431886,-0.04546,0.656495,0.415256,-0.092114,0.619227,0.493556,-0.075815,0.619935,0.524068,-0.052465,0.716513,0.483583,-0.062641,0.6706,0.484927,-0.089831,0.639122,0.534248,-0.078174,0.640996,0.549577,-0.062908,1
17,'2026/01/20 13:48:56:212',1,0.629345,0.625132,0,0.588774,0.581303,-0.023289,0.558731,0.505251,-0.041069,0.56845,0.446163,-0.059811,0.604902,0.418792,-0.076603,0.606647,0.376626,-0.021131,0.588166,0.283624,-0.054822,0.569629,0.226674,-0.074215,0.560164,0.174397,-0.088332,0.653686,0.390669,-0.030638,0.637969,0.331176,-0.078231,0.605572,0.408098,-0.084978,0.599201,0.45372,-0.077199,0.689587,0.429391,-0.044887,0.65661,0.409851,-0.089318,0.620847,0.484323,-0.075012,0.61988,0.515004,-0.053678,0.715018,0.482825,-0.06201,0.672644,0.476758,-0.088044,0.639864,0.524272,-0.076732,0.638444,0.541486,-0.062111,1
18,'2026/01/20 13:48:56:255',1,0.62493,0.621922,0,0.585458,0.57683,-0.02098,0.558421,0.500232,-0.037662,0.571361,0.441487,-0.055808,0.606442,0.414781,-0.072455,0.605106,0.377995,-0.020232,0.58705,0.282517,-0.052335,0.568746,0.225841,-0.069937,0.560211,0.174273,-0.082956,0.652411,0.392113,-0.030343,0.637908,0.333706,-0.075693,0.606633,0.412599,-0.080066,0.602748,0.454684,-0.071359,0.688269,0.429611,-0.044955,0.654994,0.407175,-0.087832,0.619487,0.482653,-0.071977,0.619905,0.511481,-0.050272,0.713158,0.48073,-0.062213,0.670019,0.473053,-0.087721,0.638426,0.521264,-0.075706,0.639088,0.537409,-0.060846,1
19,'2026/01/20 13:48:56:287',1,0.627933,0.625881,0,0.587094,0.580948,-0.020328,0.560632,0.501484,-0.035803,0.576399,0.438294,-0.052851,0.612712,0.405089,-0.068078,0.604763,0.380641,-0.016192,0.585113,0.286063,-0.048128,0.566357,0.228951,-0.065798,0.557221,0.176733,-0.078814,0.651052,0.394167,-0.026871,0.635321,0.330104,-0.073029,0.604526,0.406415,-0.078696,0.600615,0.451507,-0.070363,0.686545,0.431316,-0.04233,0.653393,0.407213,-0.085983,0.620584,0.480369,-0.071214,0.623737,0.509016,-0.049792,0.711974,0.482075,-0.060339,0.670043,0.466718,-0.085185,0.63978,0.513933,-0.072937,0.641936,0.531261,-0.058097,1
20,'2026/01/20 13:48:56:335',1,0.625933,0.620268,0,0.584752,0.573559,-0.019744,0.556615,0.493454,-0.035789,0.573143,0.43244,-0.05346,0.610204,0.40139,-0.069509,0.601775,0.37998,-0.01981,0.583514,0.285539,-0.053393,0.563834,0.230011,-0.071874,0.55431,0.179007,-0.085382,0.647616,0.394432,-0.031389,0.633779,0.331464,-0.078641,0.602079,0.408783,-0.083904,0.600582,0.451896,-0.075349,0.682974,0.432689,-0.047585,0.650792,0.410286,-0.09125,0.615986,0.482511,-0.074758,0.621317,0.506874,-0.052361,0.709369,0.484551,-0.066286,0.668543,0.467148,-0.089663,0.637746,0.512392,-0.075058,0.642366,0.526183,-0.058882,1
